Netid State      Recv-Q Send-Q                                          Local Address:Port            Peer Address:Port          Process
u_str ESTAB      0      0                                                           * 86048                      * 86049                
u_str ESTAB      0      0                                                           * 487048582                  * 0                    
u_str ESTAB      0      0                                                           * 482411738                  * 482411739            
u_str ESTAB      0      0                                 /run/dbus/system_bus_socket 64584                      * 55900                
u_str ESTAB      0      0                                                           * 394857                     * 394856               
u_str ESTAB      0      0                                                           * 59580                      * 64581                
u_str ESTAB      0      0                                 /run/dbus/system_bus_socket 83879                      * 40487                
u_str ESTAB      0      0                                                           * 70807                      * 55679                
u_str ESTAB      0      0                                 /run/systemd/journal/stdout 41052                      * 56499                
u_str ESTAB      0      0                                 /run/systemd/journal/stdout 41068                      * 66752                
u_str ESTAB      0      0                                 /run/systemd/journal/stdout 21616                      * 22777                
u_str ESTAB      0      0                                                           * 47448                      * 55673                
u_str ESTAB      0      0                                                           * 482411743                  * 482411742            
u_str ESTAB      0      0                                 /run/dbus/system_bus_socket 64582                      * 27973                
u_str ESTAB      0      0                                 /run/systemd/journal/stdout 41015                      * 56429                
u_str ESTAB      0      0                                                           * 60953                      * 41006                
u_str ESTAB      0      0                     /var/lib/sss/pipes/private/sbus-monitor 53018                      * 41130                
u_str ESTAB      0      0                                 /run/systemd/journal/stdout 55679                      * 70807                
u_str ESTAB      0      0                                                           * 71002                      * 0                    
u_str ESTAB      0      0                     /var/lib/sss/pipes/private/sbus-monitor 53019                      * 53337                
u_str ESTAB      0      0                                                           * 83878                      * 83877                
u_str ESTAB      0      0                                                           * 524138371                  * 0                    
u_str ESTAB      0      0                                                           * 394850                     * 394849               
u_str ESTAB      0      0                                                           * 27973                      * 64582                
u_str ESTAB      0      0                                 /run/systemd/journal/stdout 55523                      * 49392                
u_str ESTAB      0      0                                                           * 394847                     * 394846               
u_str ESTAB      0      0                                                           * 100383                     * 70883                
u_str ESTAB      0      0                                                           * 61950                      * 83881                
u_str ESTAB      0      0                                                           * 483667701                  * 0                    
u_str ESTAB      0      0                                                           * 39072                      * 53017                
u_str ESTAB      0      0                                                           * 523799064                  * 0                    
u_str ESTAB      0      0                                                           * 41129                      * 61020                
u_str ESTAB      0      0                                                           * 482411739                  * 482411738            
u_str ESTAB      0      0                                                           * 86182                      * 41026                
u_str ESTAB      0      0                                                           * 394750                     * 394749               
